	date	likes	retweets	text
39	Sun Feb 25 01:00:46 +0000 2018	49291	8614	I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!
40	Sun Feb 25 00:56:35 +0000 2018	76324	19531	“Congressman Schiff omitted and distorted key facts” @FoxNews  So, what else is new. He is a total phony!
41	Sat Feb 24 23:44:11 +0000 2018	73268	19400	“Russians had no compromising information on Donald Trump” @FoxNews  Of course not, because there is none, and neve… https://t.co/R9sniNq1ar
42	Sat Feb 24 23:20:06 +0000 2018	79504	21813	Dem Memo: FBI did not disclose who the clients were - the Clinton Campaign and the DNC. Wow!
43	Sat Feb 24 23:16:13 +0000 2018	82205	20826	The Democrat memo response on government surveillance abuses is a total political and legal BUST. Just confirms all… https://t.co/7xFWbPQ5Xh
44	Sat Feb 24 22:26:15 +0000 2018	98886	25446	BIG CPAC STRAW POLL RESULTS: 93% APPROVE OF THE JOB PRESIDENT TRUMP IS DOING (Thank you!). 50% say President Trump… https://t.co/QavF7yVap4
45	Sat Feb 24 21:18:01 +0000 2018	93295	22448	Dems are no longer talking DACA! “Out of sight, out of mind,” they say. DACA beneficiaries should not be happy. Nan… https://t.co/TZjolh9nkE
46	Sat Feb 24 21:07:43 +0000 2018	73809	15995	Unemployment claims are at the lowest level since 1973. Much of this has to do with the massive cutting of unnecess… https://t.co/3W7uDjmtZJ
47	Sat Feb 24 20:16:32 +0000 2018	79595	22592	Democrat judges have totally redrawn election lines in the great State of Pennsylvania. @FoxNews. This is very unfa… https://t.co/uErhBXPwuM
48	Sat Feb 24 18:54:14 +0000 2018	85385	20857	Armed Educators (and trusted people who work within a school) love our students and will protect them. Very smart p… https://t.co/wQSlkyUTzh
49	Sat Feb 24 13:23:37 +0000 2018	0	37229	RT @realDonaldTrump: I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and end…
50	Sat Feb 24 13:21:02 +0000 2018	80728	20445	So true Wayne, and Lowest black unemployment in history! https://t.co/gDxxJdZQUm
51	Fri Feb 23 22:46:47 +0000 2018	86496	15540	Thank you to the great men and women of the United States @SecretService for a job well done!
52	Fri Feb 23 21:19:37 +0000 2018	46926	8923	Today, @FLOTUS Melania and I were honored to welcome Prime Minister @TurnbullMalcolm and Mrs. Turnbull of Australia… https://t.co/PeVPje9xba
53	Fri Feb 23 17:12:40 +0000 2018	85122	20738	Our nation’s motto is IN GOD WE TRUST. This week, our nation lost an incredible leader who devoted his life to help… https://t.co/gQzYg1Xq8r
54	Fri Feb 23 17:08:42 +0000 2018	72757	16734	We salute our great American flag, we put our hands on our hearts for the pledge of Allegiance, and we all PROUDLY… https://t.co/BoR8a2Kn29
55	Fri Feb 23 17:06:36 +0000 2018	68952	15947	After years of rebuilding OTHER nations, we are finally rebuilding OUR nation - and we are restoring our confidence… https://t.co/LXqvjEMR5D
56	Fri Feb 23 13:09:54 +0000 2018	97401	24726	For those of you who are still interested, the Democrats have totally forgotten about DACA. Not a lot of interest on this subject from them!
57	Fri Feb 23 13:07:07 +0000 2018	98097	14475	My daughter, Ivanka, just arrived in South Korea. We cannot have a better, or smarter, person representing our country.
58	Fri Feb 23 13:01:09 +0000 2018	46652	7822	CPAC Today!
59	Fri Feb 23 11:28:35 +0000 2018	124980	28288	MS-13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands, but these killers… https://t.co/ktMXRRb97k
60	Fri Feb 23 01:26:26 +0000 2018	112871	32045	“School shooting survivor says he quit @CNN Town Hall after refusing scripted question.” @TuckerCarlson. Just like… https://t.co/wDQm1urt9V
61	Thu Feb 22 20:07:20 +0000 2018	82830	18622	Today, it was my great honor to host a School Safety Roundtable at the @WhiteHouse with State and local leaders, la… https://t.co/BtEV9OqmNJ
62	Thu Feb 22 16:29:50 +0000 2018	102926	18319	On behalf of an entire Nation, CONGRATULATIONS to the U.S. Women's Hockey Team on winning the GOLD! #GoTeamUSA… https://t.co/1dpsf8yqdq
63	Thu Feb 22 14:53:52 +0000 2018	105708	19778	Will be meeting with Lawmakers today at 11:30 A.M. to discuss School Safety.  Next week it will be with our Nation’… https://t.co/USyL5x0ujR
64	Thu Feb 22 14:31:35 +0000 2018	92458	22789	What many people don’t understand, or don’t want to understand, is that Wayne, Chris and the folks who work so hard… https://t.co/4I87uxDsqD
65	Thu Feb 22 13:13:32 +0000 2018	185976	37229	I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and e… https://t.co/5zKlGxnVTc
66	Thu Feb 22 13:05:18 +0000 2018	106659	25918	....If a potential “sicko shooter” knows that a school has a large number of very weapons talented teachers (and ot… https://t.co/NTnUcZxrle
67	Thu Feb 22 12:54:09 +0000 2018	125099	29836	....History shows that a school shooting lasts, on average, 3 minutes. It takes police &amp; first responders approxima… https://t.co/v68k63he25
68	Thu Feb 22 12:40:08 +0000 2018	101948	22625	....immediately fire back if a savage sicko came to a school with bad intentions. Highly trained teachers would als… https://t.co/wyg77QWPfn
69	Thu Feb 22 12:26:28 +0000 2018	88400	22583	I never said “give teachers guns” like was stated on Fake News @CNN &amp; @NBC. What I said was to look at the possibil… https://t.co/Tvi4fzLbCA
70	Thu Feb 22 01:40:33 +0000 2018	105572	23838	I will always remember the time I spent today with courageous students, teachers and families. So much love in the… https://t.co/u8ZYPzhp2S
71	Wed Feb 21 21:12:45 +0000 2018	83705	18301	.@FLOTUS Melania and I join millions of people around the world in mourning the passing of Billy Graham. Our prayer… https://t.co/Q8BrGTiHuP
72	Wed Feb 21 18:20:25 +0000 2018	74276	15122	Yesterday, it was my great honor to recognize extraordinary Law Enforcement Officers and First Responders, and to a… https://t.co/PsfNaJrfEB
73	Wed Feb 21 14:40:21 +0000 2018	116325	32572	Question: If all of the Russian meddling took place during the Obama Administration, right up to January 20th, why… https://t.co/dquN8v8VwU
74	Wed Feb 21 14:22:07 +0000 2018	150661	30037	The GREAT Billy Graham is dead. There was nobody like him! He will be missed by Christians and all religions. A very special man.
75	Wed Feb 21 01:18:36 +0000 2018	81546	16257	@CNN @MSNBC Whether we are Republican or Democrat, we must now focus on strengthening Background Checks!
76	Wed Feb 21 01:14:19 +0000 2018	98304	22061	So true, thank you! https://t.co/9TTXlfokYz
77	Wed Feb 21 01:08:00 +0000 2018	95472	22578	Bad ratings @CNN &amp; @MSNBC got scammed when they covered the anti-Trump Russia rally wall-to-wall. They probably kne… https://t.co/1s5PQaBe2g
78	Tue Feb 20 17:49:07 +0000 2018	74911	17619	"Main Street is BOOMING thanks to our incredible TAX CUT and Reform law. ""This shows small-business owners are more… https://t.co/gkJczuVCt6"
79	Tue Feb 20 15:29:07 +0000 2018	79551	19913	....cameras running. Another False Accusation. Why doesn’t @washingtonpost report the story of the women taking mon… https://t.co/OTpK1KLYOL
80	Tue Feb 20 15:16:06 +0000 2018	96802	21913	A woman I don’t know and, to the best of my knowledge, never met, is on the FRONT PAGE of the Fake News Washington… https://t.co/lWlDMu6gxb
81	Tue Feb 20 13:38:49 +0000 2018	78318	16410	I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!
82	Tue Feb 20 13:11:58 +0000 2018	79487	20393	Hope Republicans in the Great State of Pennsylvania challenge the new “pushed” Congressional Map, all the way to th… https://t.co/bT190oQKpM
83	Tue Feb 20 13:03:53 +0000 2018	51765	10244	Matt Schlapp and CPAC are getting ready for another exciting event. Big difference from those days when President O… https://t.co/KxKVJL0Bc4
84	Tue Feb 20 12:54:39 +0000 2018	82316	17287	Republicans are now leading the Generic Poll, perhaps because of the popular Tax Cuts which the Dems want to take a… https://t.co/TQfyR96KP8
85	Tue Feb 20 12:46:18 +0000 2018	85641	20867	....The President Obama quote just before election. That’s because he thought Crooked Hillary was going to win and… https://t.co/59Wli8q1pN
86	Tue Feb 20 12:37:20 +0000 2018	68063	17577	“There is no serious person out there who would suggest somehow that you could even rig America’s elections, there’… https://t.co/eJ9M6A2H50
87	Tue Feb 20 12:24:54 +0000 2018	66548	14781	Thank you to @foxandfriends for the great timeline on all of the failures the Obama Administration had against Russ… https://t.co/SI7CxX4a7C
88	Tue Feb 20 02:48:02 +0000 2018	68547	13345	“The Faith of Donald Trump,” a book just out by David Brody and Scott Lamb, is a very interesting read. Enjoy!
89	Tue Feb 20 02:29:29 +0000 2018	121276	25509	The U.S. economy is looking very good, in my opinion, even better than anticipated. Companies are pouring back into… https://t.co/Sxweprvk7N
