	Unnamed: 0	date	likes	retweets	text	filtered_text	polarity	subjectivity
411	411	Sun Jan 28 03:58:02 +0000 2018	174190	46248	I have offered DACA a wonderful deal, including a doubling in the number of recipients &amp; a twelve year pathway to c… https://t.co/gSxSjiRcoC	I have offered DACA a wonderful deal including a doubling in the number of recipients amp a twelve year pathway to c 	1.0	1.0
412	412	Sat Jan 27 22:59:52 +0000 2018	113268	21755	Taliban targeted innocent Afghans, brave police in Kabul today. Our thoughts and prayers go to the victims, and fir… https://t.co/nxuDZV0VYZ	Taliban targeted innocent Afghans brave police in Kabul today Our thoughts and prayers go to the victims and fir 	0.65	0.85
413	413	Sat Jan 27 19:30:24 +0000 2018	107071	25516	On Holocaust Remembrance Day we mourn and grieve the murder of 6 million innocent Jewish men, women and children, a… https://t.co/Df8jIU5KW2	On Holocaust Remembrance Day we mourn and grieve the murder of 6 million innocent Jewish men women and children a 	0.25	0.35
414	414	Sat Jan 27 11:55:58 +0000 2018	123170	28815	Thank you to Brandon Judd of the National Border Patrol Council for his strong statement on @foxandfriends that we… https://t.co/33QbAoLFxj	Thank you to Brandon Judd of the National Border Patrol Council for his strong statement on foxandfriends that we 	0.4333333333333333	0.7333333333333333
415	415	Fri Jan 26 23:27:23 +0000 2018	71730	16115	Thank you for the wonderful welcome @WEF! #Davos2018 https://t.co/IQkoQJxR5B	Thank you for the wonderful welcome WEF Davos2018 	0.9	0.95
416	416	Fri Jan 26 17:16:44 +0000 2018	118182	25840	DACA has been made increasingly difficult by the fact that Cryin’ Chuck Schumer took such a beating over the shutdo… https://t.co/5faBeqcNP9	DACA has been made increasingly difficult by the fact that Cryin Chuck Schumer took such a beating over the shutdo 	-0.25	0.75
417	417	Fri Jan 26 17:12:32 +0000 2018	111257	22313	Heading back from a very exciting two days in Davos, Switzerland. Speech on America’s economic revival was well rec… https://t.co/JbNNrNVH9z	Heading back from a very exciting two days in Davos Switzerland Speech on Americas economic revival was well rec 	0.19666666666666668	0.39999999999999997
418	418	Fri Jan 26 12:54:36 +0000 2018	52031	9979	Join me live at the 2018 World Economic Forum in Davos, Switzerland! #WEF18 https://t.co/fdHejCmv73 https://t.co/DuKJlVTWB8	Join me live at the 2018 World Economic Forum in Davos Switzerland WEF18  	0.16818181818181818	0.35
419	419	Fri Jan 26 11:23:07 +0000 2018	55459	10641	Great bilateral meeting with President @Alain_Berset of the Swiss Confederation - as we continue to strengthen our… https://t.co/3bK58PuFPd	Great bilateral meeting with President Alain_Berset of the Swiss Confederation  as we continue to strengthen our 	0.8	0.75
420	420	Fri Jan 26 10:46:48 +0000 2018	63221	12350	It was an honor to meet with Republic of Rwanda President Paul Kagame this morning in Davos, Switzerland. Many grea… https://t.co/tiD5NSYYwB	It was an honor to meet with Republic of Rwanda President Paul Kagame this morning in Davos Switzerland Many grea 	0.5	0.5
