	Unnamed: 0	date	likes	retweets	text	filtered_text
371	371	Thu Jan 04 02:11:31 +0000 2018	106132	19737	Stock Market had another good day but, now that the Tax Cut Bill has passed, we have tremendous upward potential. D… https://t.co/nTAj1FDp2U	Stock Market had another good day but now that the Tax Cut Bill has passed we have tremendous upward potential D 
372	372	Thu Jan 04 02:07:37 +0000 2018	68131	16613	“Some 40 U.S. companies have responded to President Trump’s tax cut and reform victory in Congress last year by han… https://t.co/98ZTvwf2Pe	Some 40 US companies have responded to President Trumps tax cut and reform victory in Congress last year by han 
373	373	Thu Jan 04 01:06:06 +0000 2018	59690	12575	Melania and I are deeply saddened by the death of Thomas S. Monson, a beloved President of the Church of Jesus Chri… https://t.co/Pge01Ug6cX	Melania and I are deeply saddened by the death of Thomas S Monson a beloved President of the Church of Jesus Chri 
374	374	Wed Jan 03 13:37:13 +0000 2018	147531	30098	Such respect for the people of Iran as they try to take back their corrupt government. You will see great support f… https://t.co/MhHkcH2s2A	Such respect for the people of Iran as they try to take back their corrupt government You will see great support f 
375	375	Wed Jan 03 04:03:01 +0000 2018	97962	20941	“President Trump has something now he didn’t have a year ago, that is a set of accomplishments that nobody can deny… https://t.co/Cy24ZYUpBg	President Trump has something now he didnt have a year ago that is a set of accomplishments that nobody can deny 
376	376	Wed Jan 03 01:05:10 +0000 2018	195976	50775	I will be announcing THE MOST DISHONEST &amp; CORRUPT MEDIA AWARDS OF THE YEAR on Monday at 5:00 o’clock. Subjects will… https://t.co/Kzvk4ErSno	I will be announcing THE MOST DISHONEST amp CORRUPT MEDIA AWARDS OF THE YEAR on Monday at 500 oclock Subjects will 
377	377	Wed Jan 03 00:49:19 +0000 2018	497888	191129	North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times.” Will someone fro… https://t.co/EvTgZxiji0	North Korean Leader Kim Jong Un just stated that the Nuclear Button is on his desk at all times Will someone fro 
378	378	Tue Jan 02 22:37:57 +0000 2018	93781	19894	...peace treaty with Israel. We have taken Jerusalem, the toughest part of the negotiation, off the table, but Isra… https://t.co/on5fwpqknG	peace treaty with Israel We have taken Jerusalem the toughest part of the negotiation off the table but Isra 
379	379	Tue Jan 02 22:37:56 +0000 2018	118236	29187	It's not only Pakistan that we pay billions of dollars to for nothing, but also many other countries, and others. A… https://t.co/noRSzexXDg	Its not only Pakistan that we pay billions of dollars to for nothing but also many other countries and others A 
380	380	Tue Jan 02 22:23:41 +0000 2018	63153	12327	Congratulations to Senator Orrin Hatch on an absolutely incredible career. He has been a tremendous supporter, and… https://t.co/lhwHKYWFIl	Congratulations to Senator Orrin Hatch on an absolutely incredible career He has been a tremendous supporter and 
381	381	Tue Jan 02 18:11:11 +0000 2018	70366	16197	We will not rest until all of America’s GREAT VETERANS can receive the care they so richly deserve. Tremendous prog… https://t.co/mk6RKy3ccj	We will not rest until all of Americas GREAT VETERANS can receive the care they so richly deserve Tremendous prog 
382	382	Tue Jan 02 15:16:38 +0000 2018	87508	18476	Democrats are doing nothing for DACA - just interested in politics.  DACA activists and Hispanics will go hard agai… https://t.co/gOK09nR4M3	Democrats are doing nothing for DACA  just interested in politics  DACA activists and Hispanics will go hard agai 
383	383	Tue Jan 02 14:53:47 +0000 2018	77517	16466	....impartial journalists of a much higher standard, lose all of your phony and non-existent “sources,” and treat t… https://t.co/4IQrWqQMXh	impartial journalists of a much higher standard lose all of your phony and nonexistent sources and treat t 
384	384	Tue Jan 02 14:39:49 +0000 2018	79241	17904	The Failing New York Times has a new publisher, A.G. Sulzberger. Congratulations! Here is a last chance for the Tim… https://t.co/iTRZfE0joC	The Failing New York Times has a new publisher AG Sulzberger Congratulations Here is a last chance for the Tim 
385	385	Tue Jan 02 14:13:13 +0000 2018	88560	16171	Since taking office I have been very strict on Commercial Aviation. Good news - it was just reported that there wer… https://t.co/jfJxEvzBd3	Since taking office I have been very strict on Commercial Aviation Good news  it was just reported that there wer 
386	386	Tue Jan 02 14:08:56 +0000 2018	77767	17286	Sanctions and “other” pressures are beginning to have a big impact on North Korea. Soldiers are dangerously fleeing… https://t.co/lFl6Gb81V7	Sanctions and other pressures are beginning to have a big impact on North Korea Soldiers are dangerously fleeing 
387	387	Tue Jan 02 13:49:23 +0000 2018	86810	15532	Companies are giving big bonuses to their workers because of the Tax Cut Bill. Really great!	Companies are giving big bonuses to their workers because of the Tax Cut Bill Really great
388	388	Tue Jan 02 13:44:33 +0000 2018	69452	14387	Thank you to Brandon Judd of the National Border Patrol Council for your kind words on how well we are doing at the… https://t.co/tmH3s3Q91a	Thank you to Brandon Judd of the National Border Patrol Council for your kind words on how well we are doing at the 
389	389	Tue Jan 02 12:48:00 +0000 2018	130586	37338	Crooked Hillary Clinton’s top aid, Huma Abedin, has been accused of disregarding basic security protocols. She put… https://t.co/TAM3Zf9ovm	Crooked Hillary Clintons top aid Huma Abedin has been accused of disregarding basic security protocols She put 
390	390	Tue Jan 02 12:09:17 +0000 2018	105683	28082	The people of Iran are finally acting against the brutal and corrupt Iranian regime. All of the money that Presiden… https://t.co/AjDsIsx0Gk	The people of Iran are finally acting against the brutal and corrupt Iranian regime All of the money that Presiden 
391	391	Mon Jan 01 13:37:52 +0000 2018	114474	16793	Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done, but it will be a great New Year!	Will be leaving Florida for Washington DC today at 400 PM Much work to be done but it will be a great New Year
392	392	Mon Jan 01 12:44:40 +0000 2018	111182	28878	Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iran… https://t.co/DaPjy8hPH5	Iran is failing at every level despite the terrible deal made with them by the Obama Administration The great Iran 
393	393	Mon Jan 01 12:12:00 +0000 2018	303923	100719	The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they… https://t.co/TuiaWGtnbR	The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years and they 
394	394	Sun Dec 31 23:43:04 +0000 2017	195640	41550	HAPPY NEW YEAR! We are MAKING AMERICA GREAT AGAIN, and much faster than anyone thought possible!	HAPPY NEW YEAR We are MAKING AMERICA GREAT AGAIN and much faster than anyone thought possible
395	395	Sun Dec 31 22:18:20 +0000 2017	199414	45786	As our Country rapidly grows stronger and smarter, I want to wish all of my friends, supporters, enemies, haters, a… https://t.co/irAgm3wwEU	As our Country rapidly grows stronger and smarter I want to wish all of my friends supporters enemies haters a 
396	396	Sun Dec 31 22:00:21 +0000 2017	111030	32935	Iran, the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basi… https://t.co/EHq72J2QaP	Iran the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basi 
397	397	Sun Dec 31 19:06:52 +0000 2017	136518	32874	What a year it’s been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!! https://t.co/qsMNyN1UJG	What a year its been and were just getting started Together we are MAKING AMERICA GREAT AGAIN Happy New Year 
398	398	Sun Dec 31 18:36:28 +0000 2017	88815	18647	My deepest condolences to the victims of the terrible shooting in Douglas County @DCSheriff, and their families. We… https://t.co/nhI3wsUInj	My deepest condolences to the victims of the terrible shooting in Douglas County DCSheriff and their families We 
399	399	Sun Dec 31 13:36:32 +0000 2017	120555	28726	Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the… https://t.co/u7zgBWSLMY	Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the 
400	400	Sun Dec 31 13:26:29 +0000 2017	71820	15650	If the Dems (Crooked Hillary) got elected, your stocks would be down 50% from values on Election Day. Now they have… https://t.co/eJOxPGScHK	If the Dems Crooked Hillary got elected your stocks would be down 50 from values on Election Day Now they have 
401	401	Sun Dec 31 13:03:29 +0000 2017	119218	31816	Big protests in Iran. The people are finally getting wise as to how their money and wealth is being stolen and squa… https://t.co/3AhXkVG6Lh	Big protests in Iran The people are finally getting wise as to how their money and wealth is being stolen and squa 
402	402	Sun Dec 31 04:46:21 +0000 2017	65225	13870	“Trump Rally: Stocks put 2017 in the record books” https://t.co/0foQGaFjMh	Trump Rally Stocks put 2017 in the record books 
403	403	Sat Dec 30 22:42:09 +0000 2017	125812	25453	Jobs are kicking in and companies are coming back to the U.S. Unnecessary regulations and high taxes are being dram… https://t.co/ts9xxdjQzU	Jobs are kicking in and companies are coming back to the US Unnecessary regulations and high taxes are being dram 
404	404	Sat Dec 30 22:36:41 +0000 2017	211795	53965	I use Social Media not because I like to, but because it is the only way to fight a VERY dishonest and unfair “pres… https://t.co/1YTuk89nmu	I use Social Media not because I like to but because it is the only way to fight a VERY dishonest and unfair pres 
405	405	Sat Dec 30 21:12:45 +0000 2017	78795	17257	On Taxes: “This is the biggest corporate rate cut ever, going back to the corporate income tax rate of roughly 80 y… https://t.co/xTHIVribyK	On Taxes This is the biggest corporate rate cut ever going back to the corporate income tax rate of roughly 80 y 
406	406	Sat Dec 30 19:02:53 +0000 2017	85875	24477	Oppressive regimes cannot endure forever, and the day will come when the Iranian people will face a choice. The wor… https://t.co/efPOuFh5fT	Oppressive regimes cannot endure forever and the day will come when the Iranian people will face a choice The wor 
407	407	Sat Dec 30 19:00:54 +0000 2017	83699	24102	The entire world understands that the good people of Iran want change, and, other than the vast military power of t… https://t.co/oJmf2sgH6y	The entire world understands that the good people of Iran want change and other than the vast military power of t 
408	408	Sat Dec 30 03:42:58 +0000 2017	142642	56969	Many reports of peaceful protests by Iranian citizens fed up with regime’s corruption &amp; its squandering of the nati… https://t.co/bL9JMWQ6bZ	Many reports of peaceful protests by Iranian citizens fed up with regimes corruption amp its squandering of the nati 
409	409	Fri Dec 29 13:16:11 +0000 2017	146379	35643	The Democrats have been told, and fully understand, that there can be no DACA without the desperately needed WALL a… https://t.co/sjkgrE1kQe	The Democrats have been told and fully understand that there can be no DACA without the desperately needed WALL a 
410	410	Fri Dec 29 13:04:09 +0000 2017	121899	27839	Why is the United States Post Office, which is losing many billions of dollars a year, while charging Amazon and ot… https://t.co/fHKlK5bmUe	Why is the United States Post Office which is losing many billions of dollars a year while charging Amazon and ot 
411	411	Fri Dec 29 12:50:17 +0000 2017	0	15810	"RT @charliekirk11: Incredible video: @CBS does a special on the GOP tax plan 

The result?

Every middle class family they sat down with SA…"	RT charliekirk11 Incredible video CBS does a special on the GOP tax plan The resultEvery middle class family they sat down with SA
412	412	Fri Dec 29 12:50:00 +0000 2017	0	19002	"RT @charliekirk11: ISIS getting slaughtered: 

Square miles liberated from ISIS
Trump: 26,000 --  Obama: 13,200

Total Square miles held by…"	RT charliekirk11 ISIS getting slaughtered Square miles liberated from ISISTrump 26000   Obama 13200Total Square miles held by
413	413	Fri Dec 29 12:48:57 +0000 2017	0	11319	"RT @FoxBusiness: .@charliekirk11: ""What this president has done is truly historic, and if a Democrat president achieved 1/10th of what @POT…"	RT FoxBusiness charliekirk11 What this president has done is truly historic and if a Democrat president achieved 110th of what POT
414	414	Fri Dec 29 12:48:15 +0000 2017	0	16547	"RT @charliekirk11: 3 big wins in 2017 you won't hear:

Trump confirmed the most circuit court judges ever in a President's 1st year (all co…"	RT charliekirk11 3 big wins in 2017 you wont hearTrump confirmed the most circuit court judges ever in a Presidents 1st year all co
415	415	Fri Dec 29 12:46:23 +0000 2017	100692	23280	While the Fake News loves to talk about my so-called low approval rating, @foxandfriends just showed that my rating… https://t.co/u3cMWTck6M	While the Fake News loves to talk about my socalled low approval rating foxandfriends just showed that my rating 
416	416	Fri Dec 29 00:01:47 +0000 2017	205918	64886	In the East, it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old G… https://t.co/tCjF8xdXep	In the East it could be the COLDEST New Years Eve on record Perhaps we could use a little bit of that good old G 
417	417	Thu Dec 28 23:14:21 +0000 2017	69082	15611	Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/OeyTdFyl1Q https://t.co/wdLQkfdy4m	Together we are MAKING AMERICA GREAT AGAIN  
418	418	Thu Dec 28 22:17:55 +0000 2017	0	21112	"RT @realDonaldTrump: “Arrests of MS-13 Members, Associates Up 83% Under Trump” 
https://t.co/70iPHy2Yqn"	RT realDonaldTrump Arrests of MS13 Members Associates Up 83 Under Trump 
419	419	Thu Dec 28 22:17:36 +0000 2017	0	2340	RT @DanScavino: Congratulations to the 2017 @PinstripeBowl (Yankee Stadium) Champions, Iowa @HawkeyeFootball! https://t.co/NlaWU6bKmH	RT DanScavino Congratulations to the 2017 PinstripeBowl Yankee Stadium Champions Iowa HawkeyeFootball 
420	420	Thu Dec 28 22:17:06 +0000 2017	0	6741	"RT @EricTrump: #ThrowbackThursdays 
@realDonaldTrump 🇺🇸🇺🇸🇺🇸 https://t.co/Z44IObGZ7V"	RT EricTrump ThrowbackThursdays realDonaldTrump  
421	421	Thu Dec 28 22:16:29 +0000 2017	0	12037	RT @IvankaTrump: “The Trump economy is booming.” One thing @realDonaldTrump “has done that has received little attention despite arguably d…	RT IvankaTrump The Trump economy is booming One thing realDonaldTrump has done that has received little attention despite arguably d
