	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	date	likes	retweets	text	filtered_text	polarity	subjectivity
18	18	18	18	18	18	18	18	18	18	Tue Apr 10 20:02:19 +0000 2018	0	0	RT @Khadimhussain4: 1/2 Achieving goals of fundamental rights for a nation and a community is a political process and political process has…	khadimhussain4 12 achieving goals of fundamental right for a nation and a community be a political process and political process have	0.09523809523809523	0.24523809523809523
19	19	19	19	19	19	19	19	19	19	Tue Apr 10 20:02:19 +0000 2018	0	0	RT @PaulLee85: Beyond ridiculous how ABC called the police on her, especially when it’s legal to carry in Tennessee. It just proves how dem…	paullee85 beyond ridiculous how abc call the police on her especially when its legal to carry in tennessee it just prove how dem	-0.04444444444444443	0.7333333333333334
20	20	20	20	20	20	20	20	20	20	Tue Apr 10 20:02:19 +0000 2018	0	0	RT @Rachel5742: He's furious? Millions of us become angrier by the day &amp; determined to bring down those politicians who have caused or back…	rachel5742 hes furious millions of us become angrier by the day amp determine to bring down those politicians who have cause or back	-0.07777777777777779	0.14444444444444446
21	21	21	21	21	21	21	21	21	21	Tue Apr 10 20:02:20 +0000 2018	0	0	.@DaniloMedina, any solution to Venezuela’s human rights &amp; humanitarian crisis must recognize the govts responsibil… https://t.co/mSYNCbaPvz	danilomedina any solution to venezuelas human right amp humanitarian crisis must recognize the govts responsibil	0.14285714285714285	0.31785714285714284
22	22	22	22	22	22	22	22	22	22	Tue Apr 10 20:02:20 +0000 2018	0	0	"RT @ShrekJohn: Yeesh. This cringe-inducing Daily Show bit did not age well...

What has aged well is the platform @Dennis_Kucinich  has bee…"	shrekjohn yeesh this cringeinducing daily show bite do not age wellwhat have age well be the platform dennis_kucinich have bee	0.0	0.0
23	23	23	23	23	23	23	23	23	23	Tue Apr 10 20:02:20 +0000 2018	0	0	"RT @CharlieDaniels: left continues with a bogus agenda,even if successful they have no idea the kind of people they’re inciting
Confiscatin…"	charliedaniels leave continue with a bogus agendaeven if successful they have no idea the kind of people theyre incitingconfiscatin	0.675	0.925
24	24	24	24	24	24	24	24	24	24	Tue Apr 10 20:02:20 +0000 2018	0	0	RT @casals_neus: Sortint de donar classe al curs  International Humans Rights Law de la Geneva Academy penso en com d’atrevida és la ignora…	casals_neus sortint de donar classe al curs international humans rights law de la geneva academy penso en com datrevida és la ignora	0.0	0.0
25	25	25	25	25	25	25	25	25	25	Tue Apr 10 20:02:20 +0000 2018	0	0	RT @GingerMcQueen: If the president can have his rights taken away like this, what is it like for the rest of us?	gingermcqueen if the president can have his right take away like this what be it like for the rest of us	0.2857142857142857	0.5357142857142857
26	26	26	26	26	26	26	26	26	26	Tue Apr 10 20:02:20 +0000 2018	0	0	"RT @LilaGraceRose: As outrageous as it seems, @womensmarch support of sex trafficking website #Backpage shouldn’t surprise us. 

Planned Pa…"	lilagracerose as outrageous as it seem womensmarch support of sex traffic website backpage shouldnt surprise us planned pa	-1.0	1.0
27	27	27	27	27	27	27	27	27	27	Tue Apr 10 20:02:21 +0000 2018	0	0	"RT @ThatDamnYank: @_Zeets Fox has the rights to the two biggest ⚽️ competitions in the world.

When is the last time they told a story or d…"	thatdamnyank _zeets fox have the right to the two biggest competitions in the worldwhen be the last time they tell a story or d	0.14285714285714285	0.3011904761904762
28	28	28	28	28	28	28	28	28	28	Tue Apr 10 20:02:21 +0000 2018	0	0	RT @wvufanagent99: Shoot Straight Gun Shop is sponsoring bus rides to the National Stand For Your Rights Event being held in Tallahassee th…	wvufanagent99 shoot straight gun shop be sponsor bus rid to the national stand for your rights event be hold in tallahassee th	0.2	0.4
29	29	29	29	29	29	29	29	29	29	Tue Apr 10 20:02:21 +0000 2018	0	0	Rights group urges Egypt’s president to end ‘violations’ https://t.co/GYx2XWCY5n https://t.co/fjA4BSAK80	rights group urge egypts president to end violations	0.0	0.0
