	date	likes	retweets	text
38	Sat Mar 24 01:50:31 +0000 2018	0	0	"RT @ProudResister: DNC Hacker was a Russian Intel officer named Guccifer 2.0.

Trump adviser Roger Stone was communicating with Russian hac…"
39	Sat Mar 24 01:50:31 +0000 2018	0	0	RT @kylegriffin1: The Trump administration, after 9PM on a Friday night, has issued orders to ban transgender troops from serving in the mi…
40	Sat Mar 24 01:50:31 +0000 2018	0	0	What I Love about it is that he Received Illegal Campaign Funding for the Pay Off $$$! Another Nail in tRump's Coff… https://t.co/xed1tbnf2v
41	Sat Mar 24 01:50:31 +0000 2018	0	0	RT @mitchellvii: I wish the Republican Congress would collude with President Trump.
42	Sat Mar 24 01:50:31 +0000 2018	0	0	RT @adegrandpre: The Post’s Pentagon team has a story forthcoming on this. Needing further clarity in Trump’s memo re: transgender military…
43	Sat Mar 24 01:50:31 +0000 2018	0	0	RT @keithboykin: Trump begins his ban of transgender service members. https://t.co/2BZLh7OYoz
44	Sat Mar 24 01:50:31 +0000 2018	0	0	"RT @AnnaBD20: ""#GeorgeWBush and #Obama whined, complained and made speeches about Chinese unfair trade practices, but they wouldn’t do anyt…"
45	Sat Mar 24 01:50:31 +0000 2018	0	0	RT @hotfunkytown: DJT got the massive increase in Military $$$ we need. Our military deserves a pay raise &amp; he exposed the swampers for all…
46	Sat Mar 24 01:50:31 +0000 2018	0	0	RT @EdKrassen: Jim Dowd says that President Trump approved his statement on shutting down the Russia Investigation.  I don't know about you…
47	Sat Mar 24 01:50:31 +0000 2018	0	0	RT @jbirdinga: We each have our own opinion of what Trump should do &amp; I respect them all.  Had to cut deals myself that looked terrible but…
48	Sat Mar 24 01:50:31 +0000 2018	0	0	RT @AltUSPressSec: There is much talk about corruption vs. collusion. They are two sides to the same coin. Trump stole your election so tha…
49	Sat Mar 24 01:50:31 +0000 2018	0	0	"RT @zingars: Trump Threatens Veto Of $1.3TN Spending Bill; Raising Shutdown Fears. 

Exactly what Ryan wants, a veto that can be overridden…"
50	Sat Mar 24 01:50:31 +0000 2018	0	0	"RT @_NotFakeNews_: BREAKING!
Trump bans most transgender Americans from serving in the military. Retweet if you think this is unconstitutio…"
51	Sat Mar 24 01:50:31 +0000 2018	0	0	RT @tedlieu: Dear American Steel families: Looks like @realDonaldTrump let you down again. The Trump tariffs are basically fake tariffs. Ma…
52	Sat Mar 24 01:50:31 +0000 2018	0	0	"RT @ClintonMSix14: This is the person who turned the FBI into a weapon against Donald Trump.

RETWEET- if you think Barack Obama should go…"
53	Sat Mar 24 01:50:31 +0000 2018	0	0	"RT @LeahR77: Leftists are obsessed about Trump &amp; a fake affair with an washed up porn actress ...

Meanwhile Biden can’t be in the same roo…"
